Cote;Type;DataType;Dates;Titre;Sous-titre;Auteur;Destinataire;Sujet;Description;Notes;Résumé;Éditeur;Localisation;Droits;Ayants-droit;Format;Langue;État génétique;Relations génétiques;Autres ressources en relation;Nature du document;Support;État général;Publication;Représentation;Contexte géographique;Lieu d'expédition;Type de publication;Titre de la publication;Lieu de publication;Numéro de la publication;Périodicité;Directeur de la publication;Auteur analyse;Date analyse;Auteur description;Date création notice;Auteur révision;Date révision notice;Auteur transcription
 MX-F-179;Photos;Picture;1928;Emili Vendrel;;undetermined;;emili Vendrel;Photo dedicated from Emili Vendrel to Margarita Xirgu in 1929;The original file is called:emili_vendrell_a.jpg;;Responsible for the file: UndeterminedPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;310 × 640 27 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipPJBHRVCDDLBNnyPSyM0EoT845PWUFIdjGcUjibT273K9SXHJRkNdkhudjRgj6Ccg/photo/AF1QipNOMucNPqX-Jx7ZbLxush1yE387vv0Fif5B2ICd?key=T0xzOEdfVG1mNjdPS0RSTFJUZGFiNXlzNk5nUHhB;;Undetermined;;;;;;;;;;;;;;
 MX-F-180;Photos;Picture;1916;Enric Borràs;;undetermined;;Enric Borras;photo of Enric Borràs dedicated to Margarida Xirgu;The original file is called: enric borràs.jpg;;Responsible for the file: UndeterminedPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;413 × 640 45,4 ko;;;;;File JPG;Digital;Good;http://margaritaxirgu.es/vivencia/28borras/28%20borras/images/enricborr.jpg    (Last consultation:  2020-05-01);;Undetermined;;;;;;;;;;;;;;
 MX-F-181;Photos;Picture;1931;Enrique Guitart;;undetermined;;Enrique Guitart;Portrait of Enrique Guitart dating from 1931 dedicated to Margarita Xirgu.;The original file is called:  ggallito.jpg;;Responsible for the file: Photo Xavier Rius XirguJordi Rius XirguPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;372x542;;;;;File JPG;Digital;Good;http://margaritaxirgu.es/vivencia3/121/Enrique%20Guitart.jpg    (Last consultation:  2020-05-01);;Undetermined;;;;;;;;;;;;;;
 MX-F-182;Photos;Picture;1905-1920;José Gómez Ortega;;undetermined;;José Gómez Ortega Gallito;Photo by José Gómez Ortega el Gallito (the famous bullfighter of Seville) dedicated to Margarita Xirgu;The original file is called:  enrique_guitart.jpg;;Responsible for the file: UndeterminedPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;162x300;;;;;File JPG;Digital;Good;http://margaritaxirgu.es/vivencia/6cubraus/GGallito.jpg    (Last consultation:  2020-05-01);;Undetermined;;;;;;;;;;;;;;
 MX-F-183;Photos;Picture;1905-1920;Retrato de  Margarita Xirgu;;Luis Vidal;;Portrait of Margarita Xirgu;Portrait of Margarita Xirgu by Luis Vidal;The original file is called:  uisa_vidal.jpg;;Responsible for the file: Photo Xavier Rius XirguJordi Rius XirguPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;490 × 640 40,9 ko;;;;;File JPG;Digital;Good;http://margaritaxirgu.es/material/dedicat/retrats/luisa_vidal.jpg     (Last consultation:  2020-05-01);;Undetermined;;;;;;;;;;;;;;
 MX-F-184;Photos;Picture;Undetermined;unidentified picture;;undetermined;;Indeterminadp;Indeterminate dedicated photo;The original file is called:  pompeius_gener.jpg;;Responsible for the file: UndeterminedPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;498 × 640 42,9 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipPJBHRVCDDLBNnyPSyM0EoT845PWUFIdjGcUjibT273K9SXHJRkNdkhudjRgj6Ccg/photo/AF1QipOkeTLkItsRPaM1cZVJSWJLWtPwYFS_J2IHa-yw?key=T0xzOEdfVG1mNjdPS0RSTFJUZGFiNXlzNk5nUHhB    (Last consultation:  2020-05-01);;Undetermined;;;;;;;;;;;;;;
 MX-F-185;Photos;Picture;1940-1970;Picture of Mragarita Xirgu in a reunion;;undetermined;;Margarita Xirgu;Margarita Xirgu gathered with a group of poeple in a restaurant in Montevideo;Undetermined;;Responsible for the file: UndeterminedPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;Undetermined;;;;;File JPG;Digital;Unspecified;https://lh3.googleusercontent.com/MHFkRAnYo99XFWY7LjPPXVDYWCsGLk0f4bWpeHZfY-Ud6W2tOBhclixl1jPJrgjnB6WcmiIk50QuorQmXyZz99Sh79bi6v7NNHIoiFVucgheSm-YLi3E-nYHnd2Qzy9zoacL4NWg_x6sUjSkemG5nxiufnlvE5GB3SNBi9dejdJ191sN3YRkpU7caA-ViX7oZy7MdVaFVl6hfjfL2QFcFagJU1qCGdfSzkKMrp5NGj1EsRFD7w5pm3jziAuZFhSb6j-ISuycGhKO-Prf-HuPBgXqrCPQ_XC4JCaCyQTbBvfYYkuw5XUIZdcEwsY0q6ECguH57nIsqRizEB0T2EOmHLo3yKwyOVwIg0HcuwJfThF7QMka0ZeHz20fd6CDfi7Z8v5PY0DUkgLTNdndXPxNyPwipojrtOyJGLLTJPNLm0eKD2SXNXMBsZZ7RyV9jPPIlEQX3x5UJ6Sq_PcIh8htHI3a5I-0poGnJRDmnOsmvFOG_A853VKahG8S2Pns-Bc_dwvLwrbZTCOQ-sECVVP1rdeDJCBUy1Mvn1kQlYGAFVze1n2NBwMfB_hfvGFDc-fwGqlujgDkVZEQ1vzyttgswQbRxQzHNvSa-AVUW5Y9Jj93WNW9oBKOvLJC02GGag2YHuVD5JXrtOAvzhOL6yz1pIWHY3cKOsJhuGtUZy12n0jMfwP5DVtzKlfOQiY_uqr39NGh1Qv-lyRzdekuopJJp_l8fLXwGevAYwR3l2_n9zCpXuw8RQ=w640-h464-no    (Last consultation:  2020-05-01);;Montevideo;;;;;;;;;;;;;;
 MX-F-186;Photos;Picture;1912;Picture of Mragarita Xirgu acting;;undetermined;;Margarita Xirgu;" Portrait of the actress Margarita Xirgu in the role of Gilberta in the production of the play ""Frou-Frou"". 1.912 ""Frou frou"" Henri Meilhac Ludovic Halévy Main Theatre of Barcelona.";The original file is called: 24_1679365832106466_8455985734222358374_n.jpg;;Responsible for the file: |Amadeu Mariné Vadalaco Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona;;;707 × 869 90,7 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipOswzhQ-WnOcI_R-4tJ694vwpLMPYCZ9ldgPK0UM885wMKpYvyOmrYFrIXFs12Yvw/photo/AF1QipNB5L2Ic7CBy-5nABlItUGawDgq2NK-yB5Fzvib?key=NnZqbzZZbFpkcFV3bXNZNnk0TXhFSnFmQk9zZTJn   (Last consultation:  2020-05-01);;Spain;;;;;;;;;;;;;;
 MX-F-187;Photos;Picture;1910;Picture of Margarita Xirgu performing;;Mariné Vadalaco, Amadeu;;Margarita Xirgu;" Portrait of the actress Margarita Xirgu in the play ""Salomé"". Photo: Mariné Vadalaco, Amadeu 1910 ""Salomé"" Oscar Wilde Principal Theatre of Barcelona.";The original file is called: 26992528_1679291088780607_3854775113962419863_n.jpg;;Responsible for the file: UndeterminedPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona;;;653 × 960 82,4 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipOswzhQ-WnOcI_R-4tJ694vwpLMPYCZ9ldgPK0UM885wMKpYvyOmrYFrIXFs12Yvw/photo/AF1QipMm9CjXkT2i6SQjZQCyIjEb9exGqxlCI_zhFY8Q?key=NnZqbzZZbFpkcFV3bXNZNnk0TXhFSnFmQk9zZTJn   (Last consultation:  2020-05-01);;Spain;;;;;;;;;;;;;;
 MX-F-188;Photos;Picture;1910-1915;Picture of Margarita Xirgu performing;;Mariné Vadalaco, Amadeu.  ;;Margarita Xirgu;"Portrait of the actress Margarita Xirgu in the play ""Salomé"".Dressing for the stage.  Photo: Mariné Vadalaco, Amadeu.";The original file is called:  26804619_1679198385456544_4362573411728127504_n.jpg;;Responsible for the file: UndeterminedPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona;;;640 × 513 72,4 ko;;;;;File JPG;Digital;Good;http://margaritaxirgu.es/vivencia/34duinmo/34inmort/images/26804619_1679198385456544_4362573411728127504_n.jpg (   (Last consultation:  2020-05-01);;Spain;;;;;;;;;;;;;;
 MX-F-189;Photos;Picture;1910-1920;Picture of Margarita Xirgu performing;;undetermined;;Margarita Xirgu;"
Retrato de la actriz Margarita Xirgu en la obra de theatre""Electra""";The original file is called:  26814492_1679363245440058_2217746336066194000_n.jpg;;Responsible for the file: UndeterminedPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona;;;390 × 960 49,6 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipOswzhQ-WnOcI_R-4tJ694vwpLMPYCZ9ldgPK0UM885wMKpYvyOmrYFrIXFs12Yvw/photo/AF1QipMV4rOdJk5GHk8p_UpC0Hsm0J_dWrFZY3r9J4IE?key=NnZqbzZZbFpkcFV3bXNZNnk0TXhFSnFmQk9zZTJn   (Last consultation:  2020-05-01);;Spain;;;;;;;;;;;;;;
 MX-F-190;Photos;Picture;1905-1920;Picture of Margarita Xirgu performing;;undetermined;;Margarita Xirgu;Portrait of Margarita Xirgu acting;The original file is called:26904585_1679352022107847_6930159929628425323_n.jpg;;Responsible for the file: UndeterminedPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona;;;777 × 724 109,5 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipOswzhQ-WnOcI_R-4tJ694vwpLMPYCZ9ldgPK0UM885wMKpYvyOmrYFrIXFs12Yvw/photo/AF1QipM3sc0gSamh6_4rFZjr_K9Ep7587tMZXAOUxUBq?key=NnZqbzZZbFpkcFV3bXNZNnk0TXhFSnFmQk9zZTJn    (Last consultation:  2020-05-01);;Spain;;;;;;;;;;;;;;
 MX-F-191;Photos;Picture;1905-1921;Picture of Margarita Xirgu performing;;undetermined;;Margarita Xirgu;Portrait of Margarita Xirgu acting;The original file is called:26815305_1679208755455507_6250169958800380808_n.jpg;;Responsible for the file: UndeterminedPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona;;;596 × 640 109,5 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipOswzhQ-WnOcI_R-4tJ694vwpLMPYCZ9ldgPK0UM885wMKpYvyOmrYFrIXFs12Yvw/photo/AF1QipN_GQpIBDRZP4ickn7xahwwNy1hFbwjyE3XskA_?key=NnZqbzZZbFpkcFV3bXNZNnk0TXhFSnFmQk9zZTJn    (Last consultation:  2020-05-01);;Spain;;;;;;;;;;;;;;
 MX-F-192;Photos;Picture;1905-1920;Picture of Margarita Xirgu performing;;undetermined;;Margarita Xirgu;" Portrait of the actress Margarita Xirgu in the play ""poquito y su madre"".";The original file is called:  27067165_1679211548788561_8691512448881395649_n.jpg;;Responsible for the file: UndeterminedPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona;;;"601 × 819
79 ko";;;;;File JPG;Digital;Good;https://lh3.googleusercontent.com/q9izB-mqExWEcCQzzIjMcFAJwjzaUV3nuHHfUM5ci77Ip6iu1CJU5bTkHO_Gpe2EbO4pgz1eSYBMqc4pe441eQOo1b2JumqS2h92hTEI1oKZLJ0p9TTLNmvYUDlzY25DcOO7Xo9UJnH4DDG3G83AXDTmtt6GTYM1pWcxE7a1xNDUGA8AziCGPADOTw7bu6RMiYXbs9fVPgVCrNXNeAtljFCDTNdGarokRjQD3sQAPBNgqtu6zDmtdow0z8JLzhNwEBNFpFq_WMwiOU7wqd-f_PjyY3mPWkef9IK_ZB-rohOpDUlA5CxOEv10qj3mFROC8r-bSTafOpCSbtYOzuxofBjrOna7IzRGlAV0ZqKDX9nceSC9Y_bbwAM6f1CY5Q6wxqEVwFZmY6xOtjsb5toBVTvooKKiFp6HGo84qngXAOFbwSSDM6HxFvYdeW8wYIf7bjnDI2W1PsnHiWjrj20SSeHbef016vaC5pL6gkc3MGRYxCQU_1MWnldG2G8Z_KVqTSoK8WJLnx5Jl5BrcWEHniHJVpTSFNmMmHUu4avwugzpdxQq6GA2ReTeZmfGmUiUHSggfAuIE8t2UVg9MQYsl2Coivh3wTW_MZf4FiHS7NcfnYwEGZIIvqNk7ESuggIZ2U387etPgr2NfwEGX32UuPtn1lr2yScNpIoIhb34U529Xoefg5NEQ1LOVogcTQ1_jFMILCweMWb-0NBGkAlzSfrlOK13JP5oFwrJLj0TSEAWrtUOAg=w483-h657-no   (Last consultation:  2020-05-01);;Spain;;;;;;;;;;;;;;
 MX-F-193;Photos;Picture;1905-1920;Picture of Margarita Xirgu performing;;undetermined;;Margarita Xirgu;" Portrait of the actress Margarita Xirgu in the play ""poquito y su madre"".";The original file is called:  27067165_1679211548788561_8691512448881395649_n.jpg;;Responsible for the file: UndeterminedPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona;;;695 × 863 91 ko;;;;;File JPG;Digital;Good;https://lh3.googleusercontent.com/cK4UloF0SN5U5AH75-WbvyFcFf33NpZGXixNjIuEfTx2rggko5EbixIX9Ge3IeVki3zefswu3FWk-zJ7STbFd472jwQ1opHURmtGjIllNM4dJCt5li7iDORAkDlJlCwkDulI80xjmUHDgVznOI5ljZ4dGSdrlL1CXjkXDof3FHwSothJrum-cZeJfCbfVekTQKri0p8h1sUE650WGKVZZlS8yeDc8QADv7QqpffgZLKVKbcmZWLe0Kv8sROngJddfd9In2zg7ZXNNf2thtGra6UOobK0Kllts8sJ3DhcGJzyoVGFkhdZbdDvs_vXbKDmXZCLRmLW3BB_yujBfscSnfOnPfERRHnhHRs-7yl30DaSA0yJpG60pWshMcZFvZibpwAIDLU7aazFJ_UubFisq2A0bb7fTVI3gQRoA1thNRwoK-wgLl6w4l6l-BuUg1TvAzLmmxUgYY7jX7PdsBdn3M0KvSYRU08W4_J7OyCUFVNlf_tz2FwNBmRJzqwAm5jlxdB_uHbGjI0bWkrdo0m4TBh_1To5PdBoINXH-Ux8Pf0ML7_BU89dT64qb7lzNANK63Fgj4ePYdOxRuwZDJNZDMQKl_BYhZBy0Rzcel8umtpWQjNN9GuuzYW-EM3I2o85nmwzYN4Sk7JPWF-OaKaCZONfcxKypwvezWcI-SaSl5th2blfWDC57vPQpwPqmGpjdGYNIeU7zMc9Bb-MBoxycNJSjD7f9Aek9aeqR4s2QGlsxoUeHQ=w530-h659-no   (Last consultation:  2020-05-01)(;;Spain;;;;;;;;;;;;;;
 MX-F-194;Photos;Picture;1905-1920;Picture of Margarita Xirgu performing;;undetermined;;Margarita Xirgu;" Portrait of the actress Margarita Xirgu in the role of Margarita Gautier in the play ""La dama de las Camellias""";The original file is called:  26815332_1679305915445791_3546983385756724071_n.jpg;;Responsible for the file: UndeterminedPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona;;;640 × 454 74,4 ko;;;;;File JPG;Digital;Good;https://lh3.googleusercontent.com/ddIJM7uBay3F8YUviGEp3POZGvUtJ5_SvUkdDqAer9jf0mJQIlj4bkpuPJ3UUzSyKwzWk4NzgHLhahNMsRLRXf2yNtIgg2YE9YHCjwntvO_JCEtCevsJvXemGYsu_4yIRbyAe16cAJZVpRn98eUe3k9o1Am6qaZsW2GMT_v8Vp3oQ_-3pHfZAYEIooofNvwThqR6h5as-Zmzd1Kgho4j-3OW9dtAe-oRtfN3GHhqjT8zddIdP_O9-d3Op6-cSOUg74n8OJdVcl69VTic9L_jQrhXHCpW2zx_ErJ6J-5Xz8xk9YaA-HLyNpdxC63lpyTj2DMVxYWNuUZrqzcQ3v_R1kIl0IJPHRMCdnBIXSacaooZoXisaOu4t4PnBjM6dFtdyldFYqTSgOwzNQElGsED9TfvKQs1kACV45Xm-HK0s2EvhXMYZKRXKjyv4yAPw09iveLJk8rAjztMnqcGALuALf8p-GdCuW3bdQ0PMmspHuk6mgHgFLxcbxWuPGHW8PTHnWr2-xaCXV0A_tJBdnwH4bzolW-JNDjvqQlv9brkfbkyWgIfAZxXWX9cAx-SaNggg4WuANQVQtlDtD9Y9FsUJbWk619LHRLbeZRLEXpoUSkwgUsIAwqRVEgrmhbVIENxCPgR6udsVlKgia_hOz1iwhbCyHw_cVvq3eylJeSjMGQwuBclj5sqJHvYP3_zDGJ4Ihc8TxiTZt3XVuPdEST8G-g1vURm1C3OSV8--mOab0M3YPccKA=w640-h454-no   (Last consultation:  2020-05-01);;Spain;;;;;;;;;;;;;;
 MX-F-195;Photos;Picture;1905-1920;Picture of Margarita Xirgu performing;;undetermined;;Margarita Xirgu;Margarita Xirgu performing in electra;The original file is called: 26907469_1679308758778840_211945225674694099_n.jpg;;Responsible for the file: UndeterminedPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona;;;665 × 869 119,8 ko;;;;;File JPG;Digital;Good;https://lh3.googleusercontent.com/WGkaq5hG3I8ZJD04mIpunuR93OnctBvoCrVB9jTNZaoGXyra8vg5EAOxu9Jke0dV-zHkFeD_zrHpPg_sGImaocKQsfxJLSGZpzVNiVxDOrF_AWMldz7OSjUC-rGerPUpZNokfX4PFDgLBANtpqH3PXQfAWt_6F9RdDLEGt5JuMmJRK2Kq1tkS0UyK0dP4d10elF_10dv10wg26kW57tp1-14ba-rxKiQ8HAtQG6fuOZerX9RDVfgjE0RQG95buWUuaykmU_vY_Lig1a3G61YINImCUsZ6d0KnaX6dUGHA6RKZg3m_5bgV1zA81N0jnla7GETOWno8p6YS6huG_RxcUDvtGzuWaQwdWo7Y4wSfPFLTXtngrMwIF76NJEScSCqPeduPN-lcXkTYIoYQTQ8C3s0Zi8VrJ9m6757h0-fRV__NYNfqRuOcM7dLDC-nZEHxldmCbO9zkM2NG4AM0Xhu0hrMVa5GmAtYsfnJSTaNoMPpvuE2rMWZaXw623_Z2hHvgCnD4g8JaHQtjT8KZ5cdpmUE_MMBIp1pIZcS_0oAkLR-HPdjTKOuZNTlYOWqeuVXdu-PGsF2UjHewmc48eyc3-0qrDU-eJDYI4MBps-gdzusqBw-WCP8pY6myPaNvO15I8GMupWyLL-SDbZ4z-qElgIeRa9vWvFe4x_Eh7jHLBvlUQZxc0my6VivX0u9spNgsgb-ynFlc5Z-uiZ3qEXo4JiDWkzCfmJ8rPoeEFe2nZzAYMBow=w504-h657-no    (Last consultation:  2020-05-01);;Spain;;;;;;;;;;;;;;
 MX-F-196;Photos;Picture;1905-1920;Picture of Margarita Xirgu performing;;undetermined;;Margarita Xirgu;" Portrait of the actress Margarita Xirgu in the role of Queen Alexia in the play ""The Young Queen";The original file is called:  26815586_1679280242115025_6643571332451612122_n.jpg;;Responsible for the file: UndeterminedPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona;;;551 × 787 47,4 ko;;;;;File JPG;Digital;Good;https://lh3.googleusercontent.com/cqmM2WVZLckOjW6ERVBVuHYoDtn1LM5ExnW6P2bemy0wKbH6xkyawDWAyqQPUUVVVJZiMDf_sXMohLGWubUnbDXQkMsmOlUO89XsoZ7TgnbApKFx3gt_eatbLc-VjC0Ra9tMSBSUEBUQYqwNz8cZP5fj370SOv4JgsuTUYoKwg9aQPzGzYxzyiVOX5C4dY4D2vwj_oelM-pQFlMhTTus1jrz20BsvkGxZ9fNcTcSPw6mlYCgNS2O9FtHjF6wmhYyAtwO-r2VURtbAcy2ys7ijTnNm36IU_GP7xrtUhrAHlTkKOQwgdN0Mtgqr1x6ZIr8tw3KRCKIa_GF67xMudQTbS3IG_F--eC8vnWwAUwAQPBIpgJ3Xq2VOoP7m06vZuq59Mur1CpxUCV6-P4BDblzc5kQTSf73ynE9XT1XupP5AO5uPheYBigO_WiBRpuG4rAE2JyurIe90mn-XqDp5AFw7pnrufCqPv-4r4GzMTYki3nPc8laahhL4JVrVqtfEtod0GEzqN0w3lB9IwKvmuePXGhbzBGUNJfNlphDYmNZJ_tK0cLfla4E5k8XBo4IxSesgs-m7Alp53L1emJtcHF4_SNexE-p9VqwIv5BR4VfU4o39hi8W5LQUsUgoQ8NNckn4yN-vVS6Zw5pbRA1BegtRKLWxiDms8e__x_6-lo_rA2pCtc0XTVJPiXzNV_60bqhUDBdpnNsIQ17NFoGPTP9pJFtyIFeaYwBmal-btGX4Sam4-YOA=w461-h659-no (  (Last consultation:  2020-05-01);;Spain;;;;;;;;;;;;;;
 MX-F-197;Photos;Picture;1905-1920;Picture of Margarita Xirgu performing;;undetermined;;Margarita Xirgu;"Retrato de la actriz Margarita Xirgu en la obra de theatre""Zaza"".";The original file is called: Zaza.jpg;;Responsible for the file: UndeterminedPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona;;;613 × 821 54,4 ko;;;;;File JPG;Digital;Good;https://lh3.googleusercontent.com/9zFLDeDqt9sr_-xUlfBe0hQDQ-qEQELN5YNVh70fwbr3L0mk2et0axOt8HYh1u3dSB1qCQ0BDCsA1PQNbYgDtd1ow-3eKkBrrVvW_W8Ne7vgsPsnWo_VSyS5rX6mu3s-IuL8LJhrjA-ZJpoEU-quqTkqSDi_MLLbJMq7h1vsvkNVLpYa06hjVMqezPwO-2mQjkn4t_yFhY44D2lbENY4mCjrm7jNjAtppq8xOFSYnLjp2MImsa9vud1hA9kwQr3Vvs4cRRyY-tpQOAlcdOdt2QtIp5ePf7z5kdeoTyxlUZO8U0aEnUfdk3mO1DQ05GYp5a15AxqEvcNg6LAsKBf4ksOYibUy1YhH1CJFaLmNrro73EpPkEnrP4egcdBko1hBfuwnVequPMY_OCfaGQIsmFtShXwsTF56ySrOXEnoljTL_T1kvXrznHE4yXfp2AKx2KYzsLSlnDpHiiurE8tqgswWr8N5qOh3aC3oPyLZbDJgCE9Ty3sBz7DSyKx1dw2GJede5EfWp-7D0D8Lp9UZINsDADjbxGI2hIbE5YLyyf3J2KkUEUbbmkabAYRkUR_dJLHF-CMMbAZhfr87JDTMV2Y6t2SYrgvxAB2N1qp9LXqTcum4yKiC3X7MtFpHKp358dh5KYOZQVisuczYSiuA0UohgK9rent-4r6ExxnS9IQlsVdjagA5Tl7RWDxFlFJu9VYkOAR_MOzbSgpfAmUyvmr_N9UPajyQFDdTCcAcHBKZu1SvBg=w492-h657-no   (Last consultation:  2020-05-01);;Spain;;;;;;;;;;;;;;
 MX-F-198;Photos;Picture;1911;Picture of Margarita Xirgu performing;;undetermined;;Margarita Xirgu;"Portrait of the actress Margarita Xirgu in the role of Benjamina in the play ""La xocolatereta"". 1911.";The original file is called: xoco.jpg;;Responsible for the file: UndeterminedPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona;;;493 × 945 92 ko;;;;;File JPG;Digital;Good;https://lh3.googleusercontent.com/a_WQlc2X3GuTev3wxnZra8_5aK37IDgOhisG8w-etnJrjcfrimfnLJZT3jkQiw0uYUttIBd2TXOsDP6Bh_XjX3GUlzqmeeSN69MXUm18egWEPvmFvCIvBKetYxgYSqlKkmJzFzwL6jAmLPEbPOVcqDbSnf_RkBjs6cUq4OdvTOYZgfhTGbGtvV-8_le_npV4cI3feSY4Zakmvdw4RPVgl0OGxWjUVtg1XgNM-KhFSpg5m03n4dOYZujP6-tgJhpUMbaX0DfKqlSFq_ujxlzsKKWfXGinXQpn73Qdw_uRhiXhIaB2OWwybESlpzyBoVKDYpH152uRXegwpud_LP6LPJE-h0YPeFzWuSi_fIXUWM3-MeoIXsd9bQyPMZA8S4ZsxBpeoXq02cyvMySAgyzD8p1QXNY-dGZWMTveS8_IJYxP8cNr6n1APyMmwfHf5AAp3DFLty0JVhW_73ahVvJ58HwXX6i5AGHrrw0zsaMqIveReNoOWMeDJdZPdea3h28MT6_hI4slwzFyFEuuVqrU0vfEISlRET8WhkhfX8VHBuDXhQXUDDcuD98PfH_HY5g5z8WlFyRLVFAj8_f1n1YhjhdolDZNWdMfdFsECtXXVhllAVuNIBJHm4CaaQVLdw7I6zQMvmL8HpOuhcfluotyvwWZkX6aEIxphiSnX0OS9HO4gaEugF1CXSO5YoGKKN71LZEhat1-cHDUUE5ZO47G0h-CpMoEW4a0nZlS0FnVj4m3ZUSz2g=w585-h657-no   (Last consultation:  2020-05-01);;Spain;;;;;;;;;;;;;;
 MX-F-199;Photos;Picture;1905-1920;Photo of  Mragarita Xirgu;;undetermined;;Margarita  Xirgu;Margarita Xirgu;The original file is called:26805328_1679283602114689_7932493255997282521_n[1].jpg;;Responsible for the file: UndeterminedPublisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona;;;493 × 945 92 ko;;;;;File JPG;Digital;Good;https://lh3.googleusercontent.com/p6HzWpjr2_z4oWY_4PAcrHsxV7ZKjReyp7W61Ur4ioWkbMImM7Aq3VFvvX6thTJoAbLRb2zO_Y_0DolJjjcjhu_hGV4LBc4sn0DRgpvftgipzdokfI3VQDUyYo1eJNHNNjSPBnvEN5e2N7qm7zksBpy5Wcs9IE5LUNKYiyImP6AJQNhd2RMSTNZDkMx4m9yFkHNCXZWRpg8lwE6AVIwbFN568TvzlUDYzKZpd-5UE90fA_Z1TJ5OuZUHG-ym1VJEL3-jTdnVnUMJxn52JeVupOkiVqqh1pTmhP9BWWJp8yE5vq26eU6KZEGY_TU_AyMHfGlAfpPgDo0lCpnPxsZon1k_GLAxwt5qfBqVvlc3N9_Y_zgOR8ozdiLOF6lYXbTooYAAnIlD0LtEqGAHSSFShyk9W_Cf38pi1d5lQlC0ClPucufujWR-HMcOPX74h1acwolyKAGkOi-ddUrWpaoFKxP7fq9vsqN-4s8KWhLHzpMSXd-zJgNFU3IAwZWDwU_2lSVjxJrRtU02bgVQlwAGogTSA8zGW6YlVOgcwye_OYnZcZSoonrfRzm7t6OxJIoh2kxG1BNz76dAeBD-hxk5Lm63zjKhesrepFYBErhGijMvMqpbBWaFL2i7EWaC5U9OSXR-i8WFdU8zwr5mYbw7VvaXctEtlvemLWgPfXtrEnOsco52w2v2ppkyUTA5Jh4RGpSBJLWb76q0nNo5_Y7hZ6Jt9HWNKzqh0UKBmhAfjPIdVEvRTw=w344-h657-no  (Last consultation:  2020-05-01);;Spain;;;;;;;;;;;;;;
